,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,PWSID,FISCAL_YEAR,STATE,STATE_NAME,EPA_REGION,PWS_TYPE_CODE,PWS_NAME,CITY_SERVED,STATE_CODE,SOURCE_WATER,IS_TRIBAL,SYSTEM_SIZE,POPULATION_SERVED_COUNT
68,OLDCASTLE PRECAST INC.,30.38022,-81.74084,http://echo.epa.gov/detailed-facility-report?fid=110009691244,FL2164617,2019,FL,Florida,4,NTNCWS,OLD CASTLE PRECAST,JACKSONVILLE,FL,GW,N,Very Small,29
69,OLDCASTLE PRECAST INC.,30.38022,-81.74084,http://echo.epa.gov/detailed-facility-report?fid=110009691244,FL2164617,2014,FL,Florida,4,NTNCWS,OLD CASTLE PRECAST,JACKSONVILLE,FL,GW,N,Very Small,25
70,OLDCASTLE PRECAST INC.,30.38022,-81.74084,http://echo.epa.gov/detailed-facility-report?fid=110009691244,FL2164617,2013,FL,Florida,4,NTNCWS,OLD CASTLE PRECAST,JACKSONVILLE,FL,GW,N,Very Small,25
71,OLDCASTLE PRECAST INC.,30.38022,-81.74084,http://echo.epa.gov/detailed-facility-report?fid=110009691244,FL2164617,2012,FL,Florida,4,NTNCWS,OLD CASTLE PRECAST,JACKSONVILLE,FL,GW,N,Very Small,25
72,OLDCASTLE PRECAST INC.,30.38022,-81.74084,http://echo.epa.gov/detailed-facility-report?fid=110009691244,FL2164617,2011,FL,Florida,4,NTNCWS,OLD CASTLE PRECAST,JACKSONVILLE,FL,GW,N,Very Small,25
73,OLDCASTLE PRECAST INC.,30.38022,-81.74084,http://echo.epa.gov/detailed-facility-report?fid=110009691244,FL2164617,2017,FL,Florida,4,NTNCWS,OLD CASTLE PRECAST,JACKSONVILLE,FL,GW,N,Very Small,29
74,OLDCASTLE PRECAST INC.,30.38022,-81.74084,http://echo.epa.gov/detailed-facility-report?fid=110009691244,FL2164617,2018,FL,Florida,4,NTNCWS,OLD CASTLE PRECAST,JACKSONVILLE,FL,GW,N,Very Small,29
75,OLDCASTLE PRECAST INC.,30.38022,-81.74084,http://echo.epa.gov/detailed-facility-report?fid=110009691244,FL2164617,2015,FL,Florida,4,NTNCWS,OLD CASTLE PRECAST,JACKSONVILLE,FL,GW,N,Very Small,25
76,OLDCASTLE PRECAST INC.,30.38022,-81.74084,http://echo.epa.gov/detailed-facility-report?fid=110009691244,FL2164617,2020,FL,Florida,4,NTNCWS,OLD CASTLE PRECAST,JACKSONVILLE,FL,GW,N,Very Small,29
77,WRIGHTWOOD APARTMENTS,29.640520000000002,-81.67886,http://echo.epa.gov/detailed-facility-report?fid=110013195032,FL2540225,2011,FL,Florida,4,CWS,WRIGHTWOOD APARTMENTS,PALATKA,FL,GW,N,Very Small,25
78,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,2014,FL,Florida,4,CWS,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,GW,N,Large,11900
79,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,2013,FL,Florida,4,CWS,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,GW,N,Large,11900
80,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,2012,FL,Florida,4,CWS,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,GW,N,Large,11900
81,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,2011,FL,Florida,4,CWS,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,GW,N,Large,11900
82,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,2015,FL,Florida,4,CWS,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,GW,N,Large,11900
83,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,2018,FL,Florida,4,CWS,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,GW,N,Large,11900
84,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,2016,FL,Florida,4,CWS,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,GW,N,Large,11900
85,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,2020,FL,Florida,4,CWS,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,GW,N,Large,11900
86,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,2019,FL,Florida,4,CWS,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,GW,N,Large,11900
87,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,2017,FL,Florida,4,CWS,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,GW,N,Large,11900
88,COUNTRY SQUIRE MOBILE HOME PK,28.99248,-81.53888,http://echo.epa.gov/detailed-facility-report?fid=110013195808,FL3350249,2017,FL,Florida,4,CWS,COUNTRY SQUIRE MOBILE HOME PK,PAISLEY,FL,GW,N,Very Small,240
89,COUNTRY SQUIRE MOBILE HOME PK,28.99248,-81.53888,http://echo.epa.gov/detailed-facility-report?fid=110013195808,FL3350249,2014,FL,Florida,4,CWS,COUNTRY SQUIRE MOBILE HOME PK,PAISLEY,FL,GW,N,Very Small,240
90,COUNTRY SQUIRE MOBILE HOME PK,28.99248,-81.53888,http://echo.epa.gov/detailed-facility-report?fid=110013195808,FL3350249,2013,FL,Florida,4,CWS,COUNTRY SQUIRE MOBILE HOME PK,PAISLEY,FL,GW,N,Very Small,240
91,COUNTRY SQUIRE MOBILE HOME PK,28.99248,-81.53888,http://echo.epa.gov/detailed-facility-report?fid=110013195808,FL3350249,2012,FL,Florida,4,CWS,COUNTRY SQUIRE MOBILE HOME PK,PAISLEY,FL,GW,N,Very Small,240
92,COUNTRY SQUIRE MOBILE HOME PK,28.99248,-81.53888,http://echo.epa.gov/detailed-facility-report?fid=110013195808,FL3350249,2011,FL,Florida,4,CWS,COUNTRY SQUIRE MOBILE HOME PK,PAISLEY,FL,GW,N,Very Small,240
93,COUNTRY SQUIRE MOBILE HOME PK,28.99248,-81.53888,http://echo.epa.gov/detailed-facility-report?fid=110013195808,FL3350249,2020,FL,Florida,4,CWS,COUNTRY SQUIRE MOBILE HOME PK,PAISLEY,FL,GW,N,Very Small,240
94,COUNTRY SQUIRE MOBILE HOME PK,28.99248,-81.53888,http://echo.epa.gov/detailed-facility-report?fid=110013195808,FL3350249,2019,FL,Florida,4,CWS,COUNTRY SQUIRE MOBILE HOME PK,PAISLEY,FL,GW,N,Very Small,240
95,COUNTRY SQUIRE MOBILE HOME PK,28.99248,-81.53888,http://echo.epa.gov/detailed-facility-report?fid=110013195808,FL3350249,2018,FL,Florida,4,CWS,COUNTRY SQUIRE MOBILE HOME PK,PAISLEY,FL,GW,N,Very Small,240
96,COUNTRY SQUIRE MOBILE HOME PK,28.99248,-81.53888,http://echo.epa.gov/detailed-facility-report?fid=110013195808,FL3350249,2015,FL,Florida,4,CWS,COUNTRY SQUIRE MOBILE HOME PK,PAISLEY,FL,GW,N,Very Small,240
97,COUNTRY SQUIRE MOBILE HOME PK,28.99248,-81.53888,http://echo.epa.gov/detailed-facility-report?fid=110013195808,FL3350249,2016,FL,Florida,4,CWS,COUNTRY SQUIRE MOBILE HOME PK,PAISLEY,FL,GW,N,Very Small,240
98,BLACK BEAR RESERVE,28.8781,-81.55634,http://echo.epa.gov/detailed-facility-report?fid=110013196978,FL3354938,2020,FL,Florida,4,CWS,BLACK BEAR RESERVE,EUSTIS,FL,GW,N,Small,625
99,BLACK BEAR RESERVE,28.8781,-81.55634,http://echo.epa.gov/detailed-facility-report?fid=110013196978,FL3354938,2016,FL,Florida,4,CWS,BLACK BEAR RESERVE,EUSTIS,FL,GW,N,Small,625
100,BLACK BEAR RESERVE,28.8781,-81.55634,http://echo.epa.gov/detailed-facility-report?fid=110013196978,FL3354938,2019,FL,Florida,4,CWS,BLACK BEAR RESERVE,EUSTIS,FL,GW,N,Small,625
101,BLACK BEAR RESERVE,28.8781,-81.55634,http://echo.epa.gov/detailed-facility-report?fid=110013196978,FL3354938,2018,FL,Florida,4,CWS,BLACK BEAR RESERVE,EUSTIS,FL,GW,N,Small,625
102,BLACK BEAR RESERVE,28.8781,-81.55634,http://echo.epa.gov/detailed-facility-report?fid=110013196978,FL3354938,2017,FL,Florida,4,CWS,BLACK BEAR RESERVE,EUSTIS,FL,GW,N,Small,625
103,BLACK BEAR RESERVE,28.8781,-81.55634,http://echo.epa.gov/detailed-facility-report?fid=110013196978,FL3354938,2014,FL,Florida,4,CWS,BLACK BEAR RESERVE,EUSTIS,FL,GW,N,Small,625
104,BLACK BEAR RESERVE,28.8781,-81.55634,http://echo.epa.gov/detailed-facility-report?fid=110013196978,FL3354938,2013,FL,Florida,4,CWS,BLACK BEAR RESERVE,EUSTIS,FL,GW,N,Small,625
105,BLACK BEAR RESERVE,28.8781,-81.55634,http://echo.epa.gov/detailed-facility-report?fid=110013196978,FL3354938,2012,FL,Florida,4,CWS,BLACK BEAR RESERVE,EUSTIS,FL,GW,N,Small,625
106,BLACK BEAR RESERVE,28.8781,-81.55634,http://echo.epa.gov/detailed-facility-report?fid=110013196978,FL3354938,2011,FL,Florida,4,CWS,BLACK BEAR RESERVE,EUSTIS,FL,GW,N,Small,625
107,BLACK BEAR RESERVE,28.8781,-81.55634,http://echo.epa.gov/detailed-facility-report?fid=110013196978,FL3354938,2015,FL,Florida,4,CWS,BLACK BEAR RESERVE,EUSTIS,FL,GW,N,Small,625
108,BRIGHTWOOD MANOR MHP,28.75737,-81.52559000000002,http://echo.epa.gov/detailed-facility-report?fid=110012913311,FL3480114,2015,FL,Florida,4,CWS,BRIGHTWOOD MANOR MHP,APOPKA,FL,GW,N,Very Small,420
109,BRIGHTWOOD MANOR MHP,28.75737,-81.52559000000002,http://echo.epa.gov/detailed-facility-report?fid=110012913311,FL3480114,2018,FL,Florida,4,CWS,BRIGHTWOOD MANOR MHP,APOPKA,FL,GW,N,Very Small,420
